x [m],y [m],u [m/s],v [m/s]
0.079598,0.074931,0.00022421,0.00186881
0.086185,0.031016,0.00027055,0.00068647
0.141080,0.107868,0.00793896,0.00010919
0.040073,0.020037,-0.00001356,0.00144124
0.092772,0.116652,0.00442955,0.00004134
0.042269,0.026624,-0.00004907,0.00205624
0.073010,0.035407,0.00007604,0.00144823
0.079598,0.092498,0.00103890,0.00227599
0.073010,0.052974,0.00010818,0.00122519
0.075206,0.041995,0.00001369,0.00153206
0.103751,0.103477,0.00164397,0.00019805
0.040073,0.070540,0.00078633,0.00159095
0.031290,0.037603,0.00009533,0.00145704
0.099360,0.112260,0.00811469,0.00043237
0.007136,0.037603,0.00001133,0.00029025
0.007136,0.099085,0.00005649,0.00004910
0.022507,0.092498,0.00005042,0.00018713
0.053248,0.074931,0.00070325,0.00168522
0.026898,0.101281,0.00005297,0.00008924
0.070814,0.009058,0.00007379,0.00116058
0.141080,0.114456,0.00659309,0.00050593
0.073010,0.041995,-0.00000624,0.00155704
0.059835,0.002470,0.00011843,0.00214125
0.046661,0.048582,0.00025335,0.00148170
0.051052,0.057365,0.00027361,0.00151233
0.108143,0.107868,0.00636379,-0.00014976
0.121318,0.121043,0.00443696,0.00023170
0.031290,0.088106,0.00037147,0.00056769
0.007136,0.088106,0.00004608,0.00015112
0.059835,0.020037,0.00016036,0.00077699
0.013724,0.110064,0.00001257,0.00007678
0.018115,0.118847,0.00000665,0.00005939
0.088381,0.026624,0.00008969,0.00078667
0.031290,0.105673,0.00007358,0.00010012
0.007136,0.105673,0.00004480,0.00009123
0.044465,0.004666,0.00027039,0.00112310
0.020311,0.004666,0.00006320,0.00127266
0.048856,0.013449,-0.00009299,0.00133375
0.053248,0.081519,0.00105338,0.00164479
0.090577,0.033211,0.00012087,0.00046435
0.046661,0.099085,0.00095177,0.00078594
0.051052,0.107868,0.00081365,0.00035698
0.042269,0.074931,0.00095361,0.00165649
0.048856,0.031016,0.00030837,0.00123749
0.149863,0.103477,0.00558759,0.00004886
0.059835,0.070540,0.00053118,0.00182563
